time_bucket,diff_bucket,sample_size,up_win_rate,down_win_rate,up_intercept,up_slope_price,up_slope_time,down_intercept,down_slope_price,down_slope_time
0-3m,"(460, 480]",548,1.0,0.0,1.0000000000000109,-2.2317997383528078e-17,2.774231135476279e-18,-1.0880185641326534e-14,2.2317997383528078e-17,-2.774231135476279e-18
0-3m,"(-460, -440]",530,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
12-15m,"(0, 20]",55449,0.5390719399808833,0.4609280600191167,0.6725487630676062,0.0026160395405987243,-0.00018947452824528283,0.32745123693239375,-0.0026160395405987243,0.00018947452824528283
12-15m,"(-20, 0]",55252,0.47066169550423514,0.5293383044957649,0.339896337630157,0.003961280061512757,0.00019689613147859776,0.6601036623698431,-0.003961280061512757,-0.00019689613147859776
12-15m,"(20, 40]",32815,0.6057595611762914,0.3942404388237086,0.6866484555212994,0.0036165077159774554,-0.0002299433845025533,0.3133515444787006,-0.0036165077159774554,0.0002299433845025533
12-15m,"(-40, -20]",30762,0.4033222807359729,0.5966777192640271,0.11486224395702115,0.0021552303436405545,0.00043355641235486063,0.8851377560429788,-0.0021552303436405545,-0.00043355641235486063
12-15m,"(40, 60]",19422,0.6422098651014314,0.3577901348985686,0.6115663603913942,0.004494877382235707,-0.00023980631378281003,0.3884336396086058,-0.004494877382235707,0.00023980631378281003
12-15m,"(-60, -40]",18027,0.35302601653075943,0.6469739834692405,-0.15802248318853956,0.002069342089775934,0.0007656859667420505,1.1580224831885395,-0.002069342089775934,-0.0007656859667420505
12-15m,"(-80, -60]",11146,0.32235779651893054,0.6776422034810694,0.008394452839250265,0.0001911558643853854,0.00041271907196822465,0.9916055471607498,-0.0001911558643853854,-0.00041271907196822465
12-15m,"(60, 80]",10795,0.6759610930986568,0.3240389069013432,0.5134005547270578,0.0030091947713521317,-5.688789606972432e-05,0.4865994452729422,-0.0030091947713521317,5.688789606972432e-05
12-15m,"(-100, -80]",7427,0.3157398680490104,0.6842601319509896,0.43393720431195054,0.001206161723158277,-1.3286096989196128e-05,0.5660627956880495,-0.001206161723158277,1.3286096989196128e-05
12-15m,"(80, 100]",7222,0.7333148712268069,0.26668512877319306,0.7811020662471235,0.0023482267450061897,-0.0003278058422367465,0.21889793375287647,-0.0023482267450061897,0.0003278058422367465
